Trigger,Period,Sell_mul,Return
2.0,15.0,0.8,0.115
2.0,15.0,0.9,0.083
2.0,15.0,1.0,0.076
2.0,20.0,0.1,0.445
2.0,20.0,0.3,0.366
2.0,20.0,0.2,0.446
2.0,20.0,0.4,0.340
2.0,20.0,0.5,0.314
2.0,20.0,0.6,0.253
2.0,20.0,0.8,0.123
2.0,20.0,0.9,0.159
2.0,25.0,0.1,0.427
2.0,20.0,1.0,0.091
2.0,25.0,0.2,0.338
2.0,25.0,0.3,0.338
2.0,25.0,0.4,0.352
2.0,25.0,0.5,0.339
2.0,25.0,0.6,0.322
2.0,25.0,0.7,0.308
2.0,25.0,0.8,0.207
2.0,25.0,0.9,0.206
2.0,25.0,1.0,0.209
2.0,30.0,0.1,0.057
2.0,30.0,0.2,0.262
2.0,30.0,0.3,0.274
2.0,30.0,0.4,0.194
2.0,30.0,0.5,0.213
2.0,30.0,0.6,0.264
2.0,30.0,0.7,0.209
2.0,30.0,0.8,0.197
2.0,30.0,1.0,0.130
2.0,30.0,0.9,0.128
2.0,35.0,0.1,0.459
2.0,35.0,0.2,0.253
2.0,35.0,0.4,0.294
2.0,35.0,0.3,0.225
2.0,35.0,0.5,0.238
2.0,35.0,0.6,0.274
2.0,35.0,0.8,0.204
2.0,35.0,0.7,0.262
2.0,35.0,0.9,0.145
2.0,35.0,1.0,0.128
2.0,40.0,0.1,0.318
2.0,40.0,0.2,0.423
2.0,40.0,0.3,0.355
2.0,40.0,0.4,0.208
2.0,40.0,0.5,0.260
2.0,40.0,0.6,0.241
2.0,40.0,0.7,0.275
2.0,40.0,0.8,0.270
2.0,40.0,0.9,0.174
2.0,40.0,1.0,0.141
2.0,45.0,0.1,0.460
2.0,45.0,0.2,0.369
2.0,45.0,0.3,0.396
2.0,45.0,0.4,0.302
2.0,45.0,0.5,0.153
2.0,45.0,0.6,0.156
2.0,45.0,0.7,0.181
2.0,45.0,0.8,0.207
2.0,45.0,0.9,0.249
2.0,45.0,1.0,0.214
2.0,50.0,0.1,0.292
2.0,50.0,0.2,0.303
2.0,50.0,0.3,0.239
2.0,50.0,0.4,0.206
2.0,50.0,0.5,0.231
2.0,50.0,0.6,0.178
2.0,50.0,0.7,0.099
2.0,50.0,0.8,0.141
2.0,50.0,1.0,0.158
2.0,50.0,0.9,0.149
2.5,10.0,0.1,0.007
2.5,10.0,0.2,0.019
2.5,10.0,0.3,0.024
2.5,10.0,0.5,0.038
2.5,10.0,0.4,0.037
2.5,10.0,0.6,0.071
2.5,10.0,0.7,0.050
2.5,10.0,0.8,0.016
2.5,10.0,0.9,0.043
2.5,10.0,1.0,0.036
2.5,15.0,0.1,-0.220
2.5,15.0,0.2,-0.036
2.5,15.0,0.4,-0.033
2.5,15.0,0.3,-0.046
2.5,15.0,0.5,-0.025
2.5,15.0,0.8,0.005
2.5,15.0,0.7,-0.021
2.5,15.0,0.6,-0.029
2.5,15.0,0.9,0.015
2.5,15.0,1.0,0.004
2.5,20.0,0.2,0.178
2.5,20.0,0.1,0.213
2.5,20.0,0.3,0.163
2.5,20.0,0.4,0.142
2.5,20.0,0.5,0.136
2.5,20.0,0.6,0.078
2.5,20.0,0.7,0.106
2.5,20.0,0.8,0.054
2.5,20.0,0.9,0.039
2.5,20.0,1.0,0.062
2.5,25.0,0.1,0.297
2.5,25.0,0.2,0.272
2.5,25.0,0.3,0.275
2.5,25.0,0.4,0.228
2.5,25.0,0.5,0.201
2.5,25.0,0.6,0.194
2.5,25.0,0.7,0.130
2.5,25.0,0.8,0.132
2.5,25.0,0.9,0.139
2.5,25.0,1.0,0.114
2.5,30.0,0.2,0.339
2.5,30.0,0.1,0.170
2.5,30.0,0.4,0.231
2.5,30.0,0.3,0.221
2.5,30.0,0.5,0.258
2.5,30.0,0.6,0.188
2.5,30.0,0.7,0.110
2.5,30.0,0.8,0.108
2.5,30.0,0.9,0.110
2.5,30.0,1.0,0.109
2.5,35.0,0.1,0.377
2.5,35.0,0.2,0.212
2.5,35.0,0.3,0.244
2.5,35.0,0.4,0.129
2.5,35.0,0.5,0.135
2.5,35.0,0.7,0.147
2.5,35.0,0.6,0.159
2.5,35.0,0.9,0.091
2.5,35.0,0.8,0.080
2.5,35.0,1.0,0.099
2.5,40.0,0.1,0.280
2.5,40.0,0.2,0.336
2.5,40.0,0.3,0.099
2.5,40.0,0.4,0.160
2.5,40.0,0.5,0.107
2.5,40.0,0.6,0.119
2.5,40.0,0.7,0.129
2.5,40.0,0.8,0.060
2.5,40.0,0.9,0.088
2.5,40.0,1.0,0.078
2.5,45.0,0.1,0.397
2.5,45.0,0.2,0.276
2.5,45.0,0.3,0.250
2.5,45.0,0.4,0.100
2.5,45.0,0.5,0.044
2.5,45.0,0.6,0.073
2.5,45.0,0.7,0.112
2.5,45.0,0.8,0.104
2.5,45.0,0.9,0.035
2.5,45.0,1.0,0.058
2.5,50.0,0.1,0.249
2.5,50.0,0.2,0.277
2.5,50.0,0.3,0.312
2.5,50.0,0.4,0.216
2.5,50.0,0.5,0.203
2.5,50.0,0.6,0.095
2.5,50.0,0.7,0.109
2.5,50.0,0.8,0.103
2.5,50.0,0.9,0.038
2.5,50.0,1.0,0.058
3.0,10.0,0.1,0.000
3.0,10.0,0.2,0.000
3.0,10.0,0.3,0.000
3.0,10.0,0.4,0.000
3.0,10.0,0.5,0.000
3.0,10.0,0.6,0.000
3.0,10.0,0.7,0.000
3.0,10.0,0.8,0.000
3.0,10.0,0.9,0.000
3.0,10.0,1.0,0.000
3.0,15.0,0.1,-0.015
3.0,15.0,0.2,-0.018
3.0,15.0,0.3,-0.018
3.0,15.0,0.4,-0.018
3.0,15.0,0.5,-0.007
3.0,15.0,0.6,-0.007
3.0,15.0,0.7,-0.007
3.0,15.0,0.8,0.005
3.0,15.0,0.9,0.005
3.0,15.0,1.0,0.005
3.0,20.0,0.1,-0.007
3.0,20.0,0.2,-0.000
3.0,20.0,0.3,-0.008
3.0,20.0,0.4,-0.008
3.0,20.0,0.5,-0.008
3.0,20.0,0.6,0.003
3.0,20.0,0.7,0.003
3.0,20.0,0.8,0.037
3.0,20.0,0.9,0.049
3.0,20.0,1.0,0.013
3.0,25.0,0.1,0.229
3.0,25.0,0.2,0.125
3.0,25.0,0.3,0.132
3.0,25.0,0.4,0.075
3.0,25.0,0.5,0.079
3.0,25.0,0.6,0.026
3.0,25.0,0.7,0.030
3.0,25.0,0.8,0.030
3.0,25.0,0.9,0.057
3.0,25.0,1.0,0.048
3.0,30.0,0.1,0.241
3.0,30.0,0.2,0.263
3.0,30.0,0.3,0.157
3.0,30.0,0.4,0.157
3.0,30.0,0.5,0.099
3.0,30.0,0.6,0.037
3.0,30.0,0.7,0.047
3.0,30.0,0.8,0.053
3.0,30.0,0.9,0.046
3.0,30.0,1.0,0.070
3.0,35.0,0.1,0.179
3.0,35.0,0.3,0.134
3.0,35.0,0.2,0.133
3.0,35.0,0.4,0.045
3.0,35.0,0.5,0.052
3.0,35.0,0.6,0.042
3.0,35.0,0.7,0.042
3.0,35.0,0.8,0.053
3.0,35.0,0.9,0.053
3.0,35.0,1.0,0.030
3.0,40.0,0.1,0.133
3.0,40.0,0.2,0.148
3.0,40.0,0.4,0.019
3.0,40.0,0.3,0.128
3.0,40.0,0.5,0.028
3.0,40.0,0.6,0.026
3.0,40.0,0.7,0.030
3.0,40.0,0.8,0.051
3.0,40.0,0.9,0.059
3.0,40.0,1.0,0.042
3.0,45.0,0.1,0.109
3.0,45.0,0.2,0.126
3.0,45.0,0.3,0.099
3.0,45.0,0.4,0.027
3.0,45.0,0.5,0.030
3.0,45.0,0.6,0.054
3.0,45.0,0.7,0.039
3.0,45.0,0.8,0.064
3.0,45.0,0.9,0.055
3.0,45.0,1.0,0.060
3.0,50.0,0.1,0.094
3.0,50.0,0.2,0.115
3.0,50.0,0.3,0.149
3.0,50.0,0.4,0.105
3.0,50.0,0.5,0.019
3.0,50.0,0.6,0.028
3.0,50.0,0.7,0.026
3.0,50.0,0.8,0.030
3.0,50.0,0.9,0.051
3.0,50.0,1.0,0.059
3.5,10.0,0.1,0.000
3.5,10.0,0.2,0.000
3.5,10.0,0.3,0.000
3.5,10.0,0.4,0.000
3.5,10.0,0.5,0.000
3.5,10.0,0.6,0.000
3.5,10.0,0.7,0.000
3.5,10.0,0.8,0.000
3.5,10.0,0.9,0.000
3.5,10.0,1.0,0.000
3.5,15.0,0.1,0.000
3.5,15.0,0.2,0.000
3.5,15.0,0.3,0.000
3.5,15.0,0.4,0.000
3.5,15.0,0.5,0.000
3.5,15.0,0.6,0.000
3.5,15.0,0.7,0.000
3.5,15.0,0.8,0.000
3.5,15.0,0.9,0.000
3.5,15.0,1.0,0.000
3.5,20.0,0.1,0.000
3.5,20.0,0.2,0.000
3.5,20.0,0.3,0.000
3.5,20.0,0.4,0.000
3.5,20.0,0.5,0.000
3.5,20.0,0.6,0.000
3.5,20.0,0.7,0.000
3.5,20.0,0.8,0.000
3.5,20.0,0.9,0.000
3.5,20.0,1.0,0.000
3.5,25.0,0.1,-0.046
3.5,25.0,0.2,-0.046
3.5,25.0,0.3,-0.040
3.5,25.0,0.4,-0.037
3.5,25.0,0.5,-0.037
3.5,25.0,0.6,-0.037
3.5,25.0,0.7,-0.037
3.5,25.0,0.8,-0.002
3.5,25.0,0.9,-0.002
3.5,25.0,1.0,-0.002
3.5,30.0,0.1,0.090
3.5,30.0,0.2,0.000
3.5,30.0,0.3,0.000
3.5,30.0,0.4,0.006
3.5,30.0,0.5,0.010
3.5,30.0,0.7,0.010
3.5,30.0,0.6,0.010
3.5,30.0,0.8,0.010
3.5,30.0,0.9,0.044
3.5,30.0,1.0,0.008
3.5,35.0,0.1,0.132
3.5,35.0,0.2,0.093
3.5,35.0,0.3,0.000
3.5,35.0,0.4,0.006
3.5,35.0,0.5,0.010
3.5,35.0,0.6,0.010
3.5,35.0,0.7,0.010
3.5,35.0,0.8,0.010
3.5,35.0,0.9,0.010
3.5,35.0,1.0,0.044
3.5,40.0,0.1,0.117
3.5,40.0,0.3,0.000
3.5,40.0,0.2,0.090
3.5,40.0,0.4,0.000
3.5,40.0,0.5,0.006
3.5,40.0,0.6,0.010
3.5,40.0,0.7,0.010
3.5,40.0,0.8,0.010
3.5,40.0,0.9,0.010
3.5,40.0,1.0,0.010
3.5,45.0,0.1,0.117
3.5,45.0,0.2,0.133
3.5,45.0,0.3,0.090
3.5,45.0,0.5,0.006
3.5,45.0,0.6,0.010
3.5,45.0,0.4,0.000
3.5,45.0,0.7,0.010
3.5,45.0,0.8,0.010
3.5,45.0,0.9,0.010
3.5,45.0,1.0,0.010
3.5,50.0,0.1,0.096
3.5,50.0,0.2,0.117
3.5,50.0,0.3,0.090
3.5,50.0,0.4,-0.001
3.5,50.0,0.5,0.005
3.5,50.0,0.6,0.018
3.5,50.0,0.7,0.022
3.5,50.0,0.8,0.031
3.5,50.0,0.9,0.038
3.5,50.0,1.0,0.022
